source_record_id,state,jurisdiction,technology,mechanisms,status,reason,description,long_description
REC-0110,IA,Floyd County,battery_storage,moratorium,in_force,duplicate of Moratorium Nation ia-floyd-county-2023,Floyd County instituted a moratorium on utility-scale wind and battery storage projects.,"On November 20, 2023, Floyd County instituted a moratorium on applications for utility-scale wind and battery storage projects, which was scheduled to run until May 20, 2024."
REC-0401,SD,Pennington County,solar,moratorium,in_force,duplicate of Moratorium Nation sd-pennington-county-2024,Pennington County adopted a countywide moratorium on utility-scale alternative energy systems for one year.,"On November 19, 2024, the Pennington County Board of Commissioners in South Dakota adopted a countywide moratorium on utility-scale alternative energy systems, including both solar and wind energy systems. The moratorium is set to expire on November 18, 2025."
REC-0401,SD,Pennington County,wind,moratorium,in_force,duplicate of Moratorium Nation sd-pennington-county-2024,Pennington County adopted a countywide moratorium on utility-scale alternative energy systems for one year.,"On November 19, 2024, the Pennington County Board of Commissioners in South Dakota adopted a countywide moratorium on utility-scale alternative energy systems, including both solar and wind energy systems. The moratorium is set to expire on November 18, 2025."
REC-0050,FL,Alachua County,,,lifted,no restricting mechanism recorded,Alachua County commissioners denied a permit for a proposed solar project citing community outreach and property value concerns.,"In October 2020, Alachua County commissioners voted to deny a permit for the Archer Solar Project, a 75-MW, 643-acre solar facility by First Solar and Duke Energy. The denial was based on a lack of outreach to the historically Black community where the project was to be located and concerns about impacts on property values."
REC-0051,FL,Alachua County,solar,,lifted,no restricting mechanism recorded,Alachua County commissioners denied a permit for the Sand Bluff Solar Project citing community outreach concerns.,"In July 2021, Alachua County commissioners voted to disallow the proposed Sand Bluff Solar Project on 600 acres outside of Archer, Florida. Opposition against the project centered on lack of outreach to the historically Black community in which it was to be sited. The local chapters of the NAACP and Sierra Club opposed the project, while the Climate Reality Project and the local chapter of the League of Women Voters supported it."
REC-0307,NC,Ashe,,,in_force,no restricting mechanism recorded,Brunswick County Board of Commissioners approved a resolution opposing wind farms within 24 nautical miles of the coast.,"In August 2021, the Brunswick County Board of Commissioners approved a resolution opposing wind farms within 24 nautical miles of the coast. The towns of Ocean Beach Isle and Sunset Beach and the Village of Bald Head Island passed similar resolutions. These are nonbinding."
REC-0406,SD,Beulah Township,wind,,lifted,no restricting mechanism recorded,Davison County Commissioners rejected a conditional use permit application for the construction of 9 wind turbines.,"In April 2018, the Davison County Commissioners in South Dakota unanimously voted to reject a conditional use permit application for the construction of 9 wind turbines in Beulah Township. It marked the second time in three years that the Commission had rejected a wind energy project. Several Commissioners expressed concern about potential impacts on solar developments."
REC-0414,TN,Franklin County,,,in_force,no restricting mechanism recorded,Franklin County adopted a resolution indefinitely prohibiting commercial renewable-energy facilities.,"In April 2022, the Franklin County Commission adopted a resolution indefinitely prohibiting commercial renewable-energy facilities within the county."
REC-0415,TN,Greene County,,,in_force,no restricting mechanism recorded,Greene County approved a 6-month moratorium on new commercial farms.,"In August 2022, the Greene County Commission approved a 6-month moratorium on new commercial farms within the county."
REC-0416,TN,Shelby County,solar,,in_force,no restricting mechanism recorded,Shelby County approved an 180-day moratorium on commercial solar farm developments in the Conservation Agricultural zoning district.,"In September 2023, the Shelby County Commission approved a 180-day moratorium on new commercial solar farm developments within the Conservation Agricultural zoning district of unincorporated Shelby County."
REC-0441,VT,Brandon,solar,,pending,no restricting mechanism recorded,Developer requested permission to change the site of a proposed solar project due to significant opposition from neighbors.,"On March 30, 2018, the developer of a proposed 2.2-MW solar project near downtown Brandon wrote a letter to the Vermont Public Utility Commission requesting permission to change the site of the project because of ‘significant opposition to the project from neighboring property owners and residents due to aesthetic concerns.’"
REC-0442,VT,"Holland, Town of",wind,,cancelled,no restricting mechanism recorded,"AllEarth Renewables proposed a single wind turbine project but faced significant delays and opposition, ultimately dropping the plans.","In July 2016, AllEarth Renewables proposed a single 2.2-MW wind turbine on a 450-acre dairy farm in the Town of Holland after winning a state contract. The project was stymied by significant delays at the Public Utility Commission and Governor Phil Scott’s stringent decibel limits for wind turbines. In January 2020, the developer announced that it was dropping plans for the project due to opposition."
REC-0443,VT,"Castleton, Town of",wind,,cancelled,no restricting mechanism recorded,Developer abandoned plans for a single-turbine wind project amidst local opposition.,"In 2022, the developer of a proposed single-turbine, 1.5-MW wind project in Castleton, Vermont and surrounding towns abandoned plans amid local opposition. The failure followed an unsuccessful 2012 proposal for 20 turbines along the ridgeline at Grandpa’s Knob that was unanimously opposed by the Castleton Select Board."
REC-0017,CA,,"wind,solar,storage",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,"Multiple bans and prohibitions on wind, solar, and storage projects were enacted in California between 2018-2020.","Between 2018 and 2020, various local jurisdictions within California implemented bans or prohibitions on the development of renewable energy projects such as wind, solar, and storage facilities. These measures were often driven by concerns over land use, aesthetics, and environmental impacts."
REC-0029,CO,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level prohibitions on wind and solar projects have been adopted in Colorado.,"Colorado has implemented state-level prohibitions on the construction of new wind and solar energy facilities, which have faced opposition from various stakeholders. These restrictions were adopted between 2019 and 2023 and are currently in force. Legal challenges to these prohibitions have been filed by affected parties."
REC-0036,CT,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,"Connecticut has state-level opposition to wind and solar projects, with a ban in place.","From 2019 to 2023, Connecticut faced significant opposition to renewable energy projects, particularly wind and solar installations. A state-wide ban on new utility-scale wind projects was implemented during this period, leading to legal challenges from various stakeholders."
REC-0037,CT,,solar,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Prohibits solar photovoltaic projects of 2 MW or greater on core forest or prime farmland unless state regulators find no material effect.,"In 2017, the Connecticut Legislature enacted Public Act No. 17-218, which prohibits solar photovoltaic projects of 2 MW or greater on 'core forest' or 'prime farmland' statewide unless state regulators find that the project will not ‘materially affect’ the land’s status as core forest or prime farmland."
REC-0049,FL,,wind,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Florida enacted a state law prohibiting the construction or expansion of wind energy facilities in specific areas.,"In 2024, Florida enacted a state statute that prohibits the construction or expansion of any wind energy facility offshore; within 1 mile of the coastline; within 1 mile of intercoastal waterways; on any waters or submerged lands. This law is effective and in force."
REC-0502,IA,,wind,ban/prohibition,unknown,state-level row: verify the statute against the report before seeding,Casey Kelly et al. report found that 16 out of 99 counties in Iowa have stringent restrictions on wind energy.,"As of 2022, Casey Kelly et al.'s report found that 16 out of 99 counties in Iowa have stringent restrictions on wind energy and that more than 49% of candidate project areas are ruled out by local ordinances. This highlights the significant impact of local restrictions on large-scale wind developments."
REC-0074,IL,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level opposition to wind and solar projects through prohibitions.,"Opposition to renewable energy facilities, particularly wind and solar projects, has been expressed in Illinois through state-level prohibitions. These measures have been adopted over the period 2019-2020."
REC-0075,IL,,"wind, solar","moratorium, setback, noise_limit, shadow_flicker_limit, zoning_restriction",in_force,state-level row: verify the statute against the report before seeding,"Illinois enacted Public Law 102-1123 to limit local authority over renewable energy projects, including moratoriums and setback requirements.","On January 27, 2023, Illinois enacted Public Law 102-1123 which sets limits on counties' authority to restrict or otherwise regulate renewable energy facilities. The law prohibits counties from establishing moratoriums on wind or solar projects and establishes statewide setback parameters that override more restrictive local regulations."
REC-0499,IL,,"wind, solar","setback, ban/prohibition",unknown,state-level row: verify the statute against the report before seeding,"University of Michigan Energy Zoning database contains local regulations and other information on renewable energy siting from over 6,000 local units of government in six Midwestern states.","The University of Michigan Energy Zoning database provides a searchable resource containing local regulations and other information on renewable energy siting from over 6,000 local units of government across Illinois, Indiana, Michigan, Minnesota, Ohio, and Wisconsin. This resource highlights local restrictions affecting wind and solar projects."
REC-0119,KS,,wind,moratorium,in_force,state-level row: verify the statute against the report before seeding,"Governor Laura Kelly continued the Tallgrass Heartland Wind Moratorium in July 2020, which protects parts of 12 counties.","In 2004, Governor Kathleen Sebelius instated a wind development moratorium on parts of the Flint Hills to protect the tallgrass prairie. In 2011, Governor Sam Brownback expanded and renamed it as 'Tallgrass Heartland.' This moratorium was continued by Governor Laura Kelly in July 2020."
REC-0137,KY,,wind,setback,in_force,state-level row: verify the statute against the report before seeding,"Wind turbines must be set back at least 1,000 feet from property lines and at least 2,000 feet from residential neighborhoods, schools, hospitals, or nursing homes.","Under House Bill 291 of 2014, adopted in 2014, wind turbines must be set back at least 1,000 feet from property lines and at least 2,000 feet from residential neighborhoods, schools, hospitals, or nursing homes."
REC-0171,MD,,solar,,unknown,state-level row: verify the statute against the report before seeding,,Maryland’s highest court held in 2019 that state law preempts local zoning authority approval for the siting and local of generating stations such as solar energy generating systems.
REC-0157,ME,,"wind, solar","ban/prohibition, moratorium",in_force,state-level row: verify the statute against the report before seeding,"Governor Janet Mills signed L.D. 1619, which banned offshore wind projects in Maine state waters and imposed a moratorium on large-scale solar projects.","In July 2021, Governor Janet Mills signed into law L.D. 1619, sponsored by Senator Mark Lawrence. The law permanently banned the development of all offshore wind projects in Maine state waters but allowed the permitting of offshore wind in federal waters if the Governor’s Energy Office developed a planned research strategy for such projects by March 2023. It also created the Offshore Wind Research Consortium (ORWC) to study the effects of offshore wind energy on the Gulf of Maine."
REC-0195,MI,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Michigan has state-level restrictions on wind and solar projects.,"Michigan has enacted laws that prohibit or restrict the development of wind and solar energy projects, reflecting opposition to renewable energy facilities within the state."
REC-0211,MN,,wind,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level ban on wind energy projects in certain counties.,"The state of Minnesota has implemented a ban on new wind energy projects in specific counties, effective from 2019 to 2020. This restriction is aimed at addressing local concerns and environmental impacts."
REC-0212,MN,,,preemption,in_force,state-level row: verify the statute against the report before seeding,"Minnesota passed a law that preempts local zoning rules for large energy storage, wind, and other electric generating facilities.","In May 2024, Governor Walz signed the Minnesota Energy Infrastructure Permiung Act, which consolidated permiung requirements and eased transmission siting while limiting circumstances under which environmental impact statements and certificates of need are required. This act preempts local zoning, building, or land use rules for large energy storage systems with a capacity of 10 MW or more, wind facilities of 5 MW or more, and other electric generating facilities of 50 MW or more."
REC-0305,NC,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level opposition to wind and solar projects through prohibitions.,"North Carolina has faced state-level opposition to renewable energy projects, particularly wind and solar, through legislative bans or prohibitions. These measures were adopted in 2019-2020."
REC-0306,NC,,wind,moratorium,in_force,state-level row: verify the statute against the report before seeding,House Bill 589 / Senate Law 192 imposed a moratorium on wind energy facility permitting until the end of 2018.,"In July 2017, House Bill 589 / Senate Law 192 was signed into law. The law included a moratorium on the permitting of wind energy facilities until the end of 2018 for the purpose of studying the impact of future wind energy development on military operations, training, and readiness."
REC-0266,NH,,,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State banned offshore wind projects.,"The state of New Hampshire enacted a ban on offshore wind projects in 2019-2020, prohibiting any development in state waters due to concerns over environmental and economic impacts."
REC-0273,NJ,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,New Jersey has enacted a ban on new wind and solar projects in certain areas.,"In 2019, New Jersey passed legislation that prohibits the construction of new utility-scale wind and solar projects in specific coastal and agricultural regions. This ban is intended to protect sensitive ecosystems and farmland. Legal challenges have been filed against this policy by renewable energy developers."
REC-0283,NM,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level opposition to wind and solar projects through prohibitions.,"Opposition to renewable energy facilities, particularly wind and solar projects, has been expressed in New Mexico through state-level prohibitions. These restrictions have been adopted between 2019 and 2023, with ongoing legal challenges."
REC-0290,NY,,"wind,solar,storage,transmission,hydro",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,"Multiple state-level policies have been enacted or proposed to restrict renewable energy projects, including wind, solar, storage, transmission, and hydro.","Between 2019 and 2023, New York has seen the implementation of several state-level restrictions on various types of renewable energy projects. These include bans or prohibitions on certain technologies such as wind, solar, storage, transmission, and hydro. Legal challenges have been a common feature in these policy developments."
REC-0291,NY,,"solar, wind","ag_land_exclusion, overlay_zone",in_force,state-level row: verify the statute against the report before seeding,New York state law restricts renewable energy projects on agricultural land and Native American territories.,"The New York State Legislature adopted a law in 2023 directing the New York Power Authority (NYPA) to develop renewable energy projects, with restrictions that prohibit development on agricultural land unless it is an agrivoltaics project or on Native American territory without consent."
REC-0497,NY,,"wind, solar",ban/prohibition,unknown,state-level row: verify the statute against the report before seeding,"New York Department of State maintains a database of local laws and county codes, which includes restrictions on renewable energy development.",The New York Department of State maintains a comprehensive database of local laws and county codes that include restrictions on renewable energy development. This resource provides information on local ordinances affecting wind and solar projects in the state.
REC-0336,OH,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Multiple bans and prohibitions on wind and solar projects have been enacted in Ohio.,"Several counties in Ohio have passed local ordinances banning or prohibiting the installation of wind and solar energy facilities. These actions were part of a broader effort to restrict renewable energy development, with some opposition citing concerns over property values, aesthetics, and noise pollution."
REC-0337,OH,,wind,setback,in_force,state-level row: verify the statute against the report before seeding,"H.B. 483 requires wind turbines to be at least 1,125 feet from the nearest property line.","Ohio House Bill 483 of 2014 mandates a setback requirement for wind turbines, stipulating that they must be sited at least 1,125 feet from the tip of the turbine’s nearest blade to the nearest adjacent property line."
REC-0338,OH,,"wind, solar","ban/prohibition, setback",in_force,state-level row: verify the statute against the report before seeding,S.B. 52 allows counties to veto specific projects and declare areas off-limits for large renewable energy projects.,"Ohio Senate Bill 52 of 2021 grants counties the power to veto specific projects and to declare themselves categorically off-limits to large renewable energy projects, including wind farms of at least 5 MW and solar facilities of at least 50 MW. Counties can adopt binding resolutions to prohibit or limit such projects."
REC-0356,OK,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level ban on wind and solar projects.,"In 2019, Oklahoma passed a state law prohibiting the construction of new wind and solar energy facilities. This ban is currently in force."
REC-0357,OK,,wind,setback,in_force,state-level row: verify the statute against the report before seeding,Oklahoma Governor signed House Bill 2118 establishing setback requirements for wind turbines near military airspace.,"In May 2019, Oklahoma Governor Kevin Sitt signed House Bill 2118 which established setback requirements for the construction of individual wind turbines near military airspace. The law requires developers to submit a 'Determination of No Hazard' from the Federal Aviation Administration and documentation showing that any adverse impacts to the Department of Defense have been resolved. Two weeks after the passage of the bill, NextEra Energy cancelled two proposed wind projects: Minco V and Crowder."
REC-0365,OR,,solar,zoning_restriction,in_force,state-level row: verify the statute against the report before seeding,Oregon Department of Land Conservation and Development adopted regulations restricting solar facilities on farmland.,"On May 23, 2019, the Oregon Department of Land Conservation and Development adopted regulations that restrict the construction of solar facilities on certain categories of farmland. The new rules do not allow solar facilities that use, occupy, or cover more than 12 acres of prime farmland or 20 acres of other farmland unless an exception applies."
REC-0376,PA,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,State-level prohibitions on wind and solar projects were enacted in 2019-2020.,"Pennsylvania has implemented state-level prohibitions on both wind and solar energy projects, which have been adopted between 2019 and 2020. These restrictions are currently in force."
REC-0377,PA,,wind,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Pennsylvania Game Commission approved a wind energy moratorium on over 1.5 million acres of game lands in April 2018.,"In April 2018, the Pennsylvania Game Commission unanimously approved a wind energy moratorium across over 1.5 million acres of game lands in the state. The Commission stated that it recognizes the value in renewable energy systems but that the construction and operation of wind energy would threaten the habitat stability of game and other species in the area."
