name,url,type,technology_scope,jurisdiction_scope,license,update_cadence,status,notes
Moratorium Nation (mjbommar/moratorium-data-2026),https://github.com/mjbommar/moratorium-data-2026,dataset,"solar, wind, battery_storage, data_center, cryptocurrency_mining",national (county/local),CC-BY-4.0 (data) / MIT (code),periodic (working snapshot; latest tagged release v2026.07),integrated,"Seeds restrictions_seed.csv via scripts/fetch_moratorium_nation.py. Also the source for the data center platform's coverage_audit.py reference."
Sabin Center Renewable Energy Legal Defense Initiative,https://climate.law.columbia.edu/content/renewable-energy-legal-defense-initiative,litigation tracker,"solar, wind, battery_storage",national,verify reuse terms (academic institution; not an open dataset),ongoing,to integrate,Primary source for contested_projects and cases entities; litigation and legal-defense angle specifically.
Opposition Report / Sabin Center opposition report series,https://oppositionreport.org/reports/current/,periodic report,"solar, wind, battery_storage",national,verify reuse terms,periodic editions (archive at oppositionreport.org/archive/),to integrate,"Successor to the Columbia blog report series (2021-2025 editions archived at climate.law.columbia.edu). September 2026 edition found local opposition ""widespread and growing""."
DOE/NREL U.S. Wind Siting Regulation and Zoning Ordinances,https://catalog.data.gov/dataset/u-s-wind-siting-regulation-and-zoning-ordinances,dataset,wind,national (county/local ordinances),US government (public domain),periodic (2022 initial release),to integrate,Ground-truth ordinance database; used for detection-recall checks against restrictions.
DOE/NREL U.S. Solar Siting Regulation and Zoning Ordinances (2025),https://catalog.data.gov/dataset/u-s-solar-siting-regulation-and-zoning-ordinances-2025,dataset,solar,national (county/local ordinances),US government (public domain),periodic (2025 edition),to integrate,Same role as the wind ordinance database above.
LBNL Queued Up,https://emp.lbl.gov/queues,dataset,"solar, wind, battery_storage (interconnection queues)",national,US government / LBNL (check citation terms),annual,to integrate,"Baseline universe of proposed projects for control-group construction once the predictive-modeling phase starts; plays the PUDL/EIA role from the data center platform."
Open States,https://openstates.org,legislative tracker,all (bill text and status),state,open (see site terms),continuous,reused from data center platform,Filter to renewables-relevant bill topics for contested_projects/restrictions state-legislation tracking.
GDELT 2.0 Doc API,https://www.gdeltproject.org/data.html,event harvesting API,all,national/global,open,continuous,reused from data center platform,Same dedup pattern as signal_harvest.py in the data center pipeline.
Carina Energy BESS Moratorium Map,https://carina.energy/bess-moratoriums/,commercial dataset,battery_storage,national (state/local),commercial - verify license before ingesting,unknown,lower priority,"Now lower priority: Moratorium Nation already covers battery_storage moratoria under CC-BY-4.0."
EticaAG BESS Restrictions Database,https://eticaag.com/bess-moratorium-database/,commercial dataset,battery_storage,national (state/local),commercial - verify license before ingesting,unknown,lower priority,Same note as Carina Energy row above.
