record_id,state,county,municipality,jurisdiction_level,record_type,project_or_policy_name,technology,policy_mechanism,opposition_type,adopted_or_event_date_text,status,project_capacity_mw,project_area_acres,has_litigation,short_description,long_description,extraction_source_section,notes
REC-0001,AL,Baldwin County,,local,local_restriction,,wind,"ban/prohibition, setback",,"October 18, 2022",in_force,,,,Baldwin County prohibits wind energy systems with a capacity of 50 kW or greater and requires setbacks from scenic byways.,"Baldwin County, Alabama has enacted zoning ordinances that prohibit wind energy systems with a capacity of 50 kW or greater. Additionally, any wind energy system located near a scenic byway or corridor must not cause an adverse visual impact.",local_restrictions,
REC-0002,AL,Cherokee County,,local,local_restriction,,wind,"noise_limit, setback",,"March 18, 2014",in_force,,,yes,Cherokee County enacted restrictions on wind power including noise limits and setbacks.,"In 2014, the Alabama state legislature enacted S.B. 402 which established certain restrictions on wind power in Cherokee County, including a noise limit of 40 decibels (dBA) at the nearest property line and a setback of at least 2,500 feet from the nearest property line.",local_restrictions,
REC-0003,AL,DeKalb County,,local,local_restriction,,wind,"setback, noise_limit",,Not explicitly stated but likely around 2014-2019,in_force,,,,"DeKalb County requires wind turbines to be set back 2,500 feet from property lines and noise must not exceed 40 decibels.","In DeKalb County, Alabama, wind turbines must be set back 2,500 feet from property lines and noise must not exceed 40 decibels. Additionally, any wind energy system or turbine that does not operate continuously for 365 consecutive days may be deemed abandoned and shall be removed by the operator of the system.",local_restrictions,
REC-0004,AL,Etowah County,,local,local_restriction,,wind,"noise_limit, setback",,"March 19, 2014",in_force,,,yes,Etowah County enacted restrictions on wind power including noise limits and setbacks.,"In 2014, the Alabama state legislature enacted S.B. 403 which established certain restrictions on wind power in Etowah County, including a noise limit of 40 decibels (dBA) at the nearest property line and a setback of at least 2,500 feet from the nearest property line.",local_restrictions,
REC-0005,AL,Etowah County,,contested_project,contested_project,Noccalula Wind Energy Center,wind,,"local_residents, litigation",August 2014,cancelled,35-40 MW,,yes,Pioneer Green Energy abandoned plans for a wind project in Etowah County after local residents filed a lawsuit and state restrictions were enacted.,"In August 2014, Pioneer Green Energy, a Texas-based developer, abandoned plans to construct a $160 million wind project comprising 35 to 40 turbines after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Etowah County.",contested_projects,
REC-0006,AL,Covington County,,contested_project,contested_project,Origis Energy Solar Farm,solar,,"local_residents, media_campaign","August 21, 2023",pending,160 MW,"1,000 acres",,Local residents opposed a proposed solar farm in Covington County citing concerns about the impact on family properties and well water supplies.,"Local residents expressed strong opposition to a proposed 160-MW, 1,000-acre solar panel array at an August 21, 2023 meeting. The residents opposed the farm for several reasons, including that it would be powering communities over an hour away and not their own; that the solar farm might encroach on family properties that have existed for generations; and that potential road runoff might impact their well water supplies.",contested_projects,
REC-0007,AL,Cherokee County,,contested_project,contested_project,Shinbone Ridge Wind,wind,,"local_residents, litigation",August 2014,cancelled,7-8 MW,,yes,Pioneer Green Energy abandoned plans for a wind project in Cherokee County after local residents filed a lawsuit and state restrictions were enacted.,"In August 2014, Pioneer Green Energy abandoned plans to construct a $40 million wind project comprising 7 to 8 turbines in Cherokee County after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Cherokee County.",contested_projects,
REC-0008,AL,Cleburne County,,contested_project,contested_project,Turkey Heaven Mountain Wind,wind,,"local_residents, litigation",June 2014,cancelled,,,yes,Native Energy Solutions abandoned plans for a wind project in Cleburne County after local residents filed a lawsuit.,"In October 2015, Native Energy Solutions, an Oklahoma-based developer, announced that it was no longer planning to build a wind project in Cleburne County. The project faced opposition from local residents who, in June 2014, filed a lawsuit seeking a permanent injunction that would bar the developer from constructing wind turbines in the county.",contested_projects,
REC-0009,AZ,Pinal County,Coolidge City,local,local_restriction,,solar,"zoning_restriction,overlay_zone",,"May 2022, October 2023",in_force,,,,Coolidge City approved a zoning amendment to remove solar farms from agricultural districts and created an industrial solar farm overlay zone.,"In May 2022, the Coolidge City Council in Pinal County, Arizona, approved a zoning amendment removing solar farms from approved uses in agricultural districts. At the same time, the council voted to create an industrial solar farm overlay zone to identify areas in the city for developing solar farms. In October 2023, Mohave County established a 240-day moratorium on using energy overlay re-zoning for renewable energy development.",local_restrictions,
REC-0010,AZ,Mohave County,,local,local_restriction,,,moratorium,,"October 2023, June 2024",lifted,,,,"Mohave County Board of Supervisors established a 240-day moratorium on energy overlay re-zoning for renewable projects, which was later lifted.","In October 2023, the Mohave County Board of Supervisors in Arizona cast a 3-2 vote to establish a 240-day moratorium on using energy overlay re-zoning for the development of renewable energy on private property. Prior to this, the Board had denied every application for energy overlay re-zoning. In June 2024, the Board voted 3-2 in favor of allowing solar projects within the county on land zoned for ‘Light Industrial’ use, effectively lifting the moratorium.",local_restrictions,
