state,project_name,technology,court_level,severity_score,description,case_name,court,docket_number,case_status,linked_entity,source_record_id,case_id,source,source_url,case_source_url,reviewer_notes
AZ,SunZia Transmission Line,transmission,federal_district,3,Tohono O'odham Nation v. U.S. Department of the Interior (U.S. District Court for the District of Arizona) - litigation over SunZia Transmission Line,Tohono O'odham Nation v. U.S. Department of the Interior,U.S. District Court for the District of Arizona,4:24-cv-00034,pending,contested_project,REC-0013,case_36584c3665,Reviewed case record,https://dockets.justia.com/docket/arizona/azdce/4:2024cv00034/1359631,https://dockets.justia.com/docket/arizona/azdce/4:2024cv00034/1359631,"Verified 2026-09-24 by web search: a Justia dockets / govinfo result names this case, court and docket; opinion text not read. Dismissed 2024-06-06; the Ninth Circuit revived the claims in 2025 and remanded."
CA,Altamont Pass Wind Resource Area First-Generation Wind Farms,wind,state_appellate,3,"Center for Biological Diversity, Inc. v. FPL Group, Inc. (California Court of Appeal, First Appellate District) - litigation over Altamont Pass Wind Resource Area First-Generation Wind Farms","Center for Biological Diversity, Inc. v. FPL Group, Inc.","California Court of Appeal, First Appellate District",,ruled_for_developer,contested_project,REC-0023,case_a216359f5a,Reviewed case record,https://www.courtlistener.com/opinion/2247219/center-for-biological-diversity-inc-v-fpl-group-inc/,https://www.courtlistener.com/opinion/2247219/center-for-biological-diversity-inc-v-fpl-group-inc/,"Verified 2026-09-24 by web search: a CourtListener / FindLaw result names this case, court; opinion text not read. Decided 2008-09-18 (166 Cal.App.4th 1349): dismissal affirmed."
CA,Boulder Brush Project,wind;transmission,federal_district,3,Backcountry Against Dumps v. Bureau of Indian Affairs (U.S. District Court for the Southern District of California) - litigation over Boulder Brush Project,Backcountry Against Dumps v. Bureau of Indian Affairs,U.S. District Court for the Southern District of California,3:20-cv-02343,dismissed,contested_project,REC-0027,case_745ea6e9b2,Reviewed case record,https://law.justia.com/cases/federal/district-courts/california/casdce/3:2020cv02343/694320/74/,https://law.justia.com/cases/federal/district-courts/california/casdce/3:2020cv02343/694320/74/,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Dismissed under Rule 19 (tribe a required party); affirmed by the Ninth Circuit."
DE,Cedar Creek Solar,solar,state_trial,3,Citizens Against Solar Pollution v. Kent County (Delaware Court of Chancery) - litigation over Cedar Creek Solar,Citizens Against Solar Pollution v. Kent County,Delaware Court of Chancery,2022-0287-NAC,dismissed,contested_project,REC-0044,case_de5d5a5743,Reviewed case record,https://law.justia.com/cases/delaware/court-of-chancery/2023/2022-0287-nac.html,https://law.justia.com/cases/delaware/court-of-chancery/2023/2022-0287-nac.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023: dismissed for lack of jurisdiction with leave to transfer to Superior Court."
DE,Cedar Creek Solar,solar,state_trial,3,Citizens Against Solar Pollution v. Kent County (Delaware Superior Court) - litigation over Cedar Creek Solar,Citizens Against Solar Pollution v. Kent County,Delaware Superior Court,N23C-03-196 VLM,,contested_project,REC-0044,case_58fe8f2527,Reviewed case record,https://law.justia.com/cases/delaware/superior-court/2024/n23c-03-196-vlm.html,https://law.justia.com/cases/delaware/superior-court/2024/n23c-03-196-vlm.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Transferred case; 2023 and 2024 decisions; later appealed to the Delaware Supreme Court (Kent County v. Citizens Against Solar Pollution). Outcome not captured."
HI,Kahuku Na Pua Makani Wind Project,wind,state_supreme,3,Keep the North Shore Country v. Board of Land and Natural Resources (Supreme Court of Hawai'i) - litigation over Kahuku Na Pua Makani Wind Project,Keep the North Shore Country v. Board of Land and Natural Resources,Supreme Court of Hawai'i,SCAP-19-0000449,ruled_for_developer,contested_project,REC-0067,case_ee372892b0,Reviewed case record,https://case-law.vlex.com/vid/keep-the-n-shore-907372581,https://case-law.vlex.com/vid/keep-the-n-shore-907372581,"Verified 2026-09-24 by web search: a vLex / DLNR result names this case, court and docket; opinion text not read. Decided 2022-02-22: habitat conservation plan approval upheld."
IL,Alta Wind Farm,wind,state_trial,3,"Alta Farms Wind Project II v. DeWitt County (Illinois Circuit Court, Sixth Judicial Circuit (DeWitt County)) - litigation over Alta Wind Farm",Alta Farms Wind Project II v. DeWitt County,"Illinois Circuit Court, Sixth Judicial Circuit (DeWitt County)",,ruled_for_developer,contested_project,REC-0085,case_c1f72eeee2,Reviewed case record,https://pantagraph.com/alta-farms-wind-project-ii-v-dewitt-county-et-al/pdf_503e14df-53ac-584d-90e6-e79a9a01622c.html,https://pantagraph.com/alta-farms-wind-project-ii-v-dewitt-county-et-al/pdf_503e14df-53ac-584d-90e6-e79a9a01622c.html,"Verified 2026-09-24 by web search: a Pantagraph (complaint PDF) / news result names this case, court; opinion text not read. 2021: board lacked authority to suspend the project's building permits. Residents' and the Village of Wapella's suits against the approval are not recorded here."
MA,454-MW offshore wind farm,wind,federal_appellate,3,Public Employees for Environmental Responsibility v. Hopper (U.S. Court of Appeals for the D.C. Circuit) - litigation over 454-MW offshore wind farm,Public Employees for Environmental Responsibility v. Hopper,U.S. Court of Appeals for the D.C. Circuit,14-5301,ruled_for_opposition,contested_project,REC-0193,case_b20d5aafe4,Reviewed case record,https://www.courtlistener.com/opinion/3219842/public-employees-for-environmental-responsibility-v-hopper/,https://www.courtlistener.com/opinion/3219842/public-employees-for-environmental-responsibility-v-hopper/,"Verified 2026-09-24 by web search: a CourtListener / govinfo result names this case, court and docket; opinion text not read. Decided 2016-07-05: Cape Wind EIS held inadequate (geological surveys)."
NC,Coastal Pine Solar Farm,solar,state_appellate,3,"Coastal Pine Solar, LLC v. Pender County (North Carolina Court of Appeals) - litigation over Coastal Pine Solar Farm","Coastal Pine Solar, LLC v. Pender County",North Carolina Court of Appeals,COA24-108,ruled_for_opposition,contested_project,REC-0319,case_deb7e3e90a,Reviewed case record,https://caselaw.findlaw.com/court/nc-court-of-appeals/129583.html,https://caselaw.findlaw.com/court/nc-court-of-appeals/129583.html,"Verified 2026-09-24 by web search: a FindLaw / vLex result names this case, court and docket; opinion text not read. Decided 2026-06-17: county's permit denial upheld."
NH,Antrim Wind Project,wind,state_supreme,3,In re Allen (Antrim Wind Energy) (Supreme Court of New Hampshire) - litigation over Antrim Wind Project,In re Allen (Antrim Wind Energy),Supreme Court of New Hampshire,,ruled_for_developer,contested_project,REC-0268,case_c0daa618a6,Reviewed case record,https://www.courtlistener.com/opinion/7923542/in-re-allen/,https://www.courtlistener.com/opinion/7923542/in-re-allen/,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. May 2018 (per NHPR): Site Evaluation Committee approval upheld."
