state,project_name,technology,source_record_id,linked_entity,outcome,opposition_type,event_date_text,litigation_context,case_name,court,court_level,docket_number,case_status,case_source_url,severity_score,review_status,reviewer_notes
AL,Cherokee County setback,wind,REC-0002,restriction,,,"March 18, 2014","In 2014, the Alabama state legislature enacted S.B. 402 which established certain restrictions on wind power in Cherokee County, including a noise limit of 40 decibels (dBA) at the nearest property line and a setback of at least 2,500 feet from the nearest property line.",,,,,,,,needs_docket_research,
AL,Etowah County setback,wind,REC-0004,restriction,,,"March 19, 2014","In 2014, the Alabama state legislature enacted S.B. 403 which established certain restrictions on wind power in Etowah County, including a noise limit of 40 decibels (dBA) at the nearest property line and a setback of at least 2,500 feet from the nearest property line.",,,,,,,,needs_docket_research,
AL,Noccalula Wind Energy Center,wind,REC-0005,contested_project,blocked_unverified,"local_residents, litigation",August 2014,"In August 2014, Pioneer Green Energy, a Texas-based developer, abandoned plans to construct a $160 million wind project comprising 35 to 40 turbines after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Etowah County.",,,,,,,,needs_docket_research,
AL,Shinbone Ridge Wind,wind,REC-0007,contested_project,blocked_unverified,"local_residents, litigation",August 2014,"In August 2014, Pioneer Green Energy abandoned plans to construct a $40 million wind project comprising 7 to 8 turbines in Cherokee County after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Cherokee County.",,,,,,,,needs_docket_research,
AL,Turkey Heaven Mountain Wind,wind,REC-0008,contested_project,blocked_unverified,"local_residents, litigation",June 2014,"In October 2015, Native Energy Solutions, an Oklahoma-based developer, announced that it was no longer planning to build a wind project in Cleburne County. The project faced opposition from local residents who, in June 2014, filed a lawsuit seeking a permanent injunction that would bar the developer from constructing wind turbines in the county.",,,,,,,,needs_docket_research,
AZ,Black Mesa Pumped Storage Project,hydro,REC-0011,contested_project,pending,"environmental_group, local_residents","July 2023, February 2024","The developer Nature and People First has sought to develop a 6,000-MW, utility-scale pumped storage hydropower project on approximately 400 acres of land in Apache and Navajo Counties. In July 2023, three organizations submitted a letter to FERC attaching resolutions against the project from 18 Navajo Nation chapters and agencies. Nearby residents had expressed concerns about potential damage to underground water supplies and sacred lands, and that the developer had not sufficiently involved nearby residents. In February 2024, FERC denied applications for a preliminary permit for the project.",,,,,,,,needs_docket_research,
AZ,SunZia Transmission Line,transmission,REC-0013,contested_project,pending,"environmental_group, local_residents","January 2024, June 2024","The SunZia transmission line, expected to open in 2026 with the ability to carry more than 3,600 MW of wind power generated in New Mexico wind farms, routed through the San Pedro Valley. The Tohono O’odham, Hopi, Zuni, and San Carlos Apache tribes claimed that the Bureau of Land Management ignored over 15 years of attempts by the tribes to recognize the valley as a culturally significant area. In January 2024, these tribes, along with Center for Biological Diversity and Archeology Southwest, filed a lawsuit in the U.S. District Court for the District of Arizona, claiming that the review of the project violated NEPA and the NHPA. The lawsuit was dismissed in June 2024 and subsequently appealed to the Ninth Circuit Court of Appeals.",Tohono O'odham Nation v. U.S. Department of the Interior,U.S. District Court for the District of Arizona,federal_district,4:24-cv-00034,pending,https://dockets.justia.com/docket/arizona/azdce/4:2024cv00034/1359631,,promoted,"Verified 2026-09-24 by web search: a Justia dockets / govinfo result names this case, court and docket; opinion text not read. Dismissed 2024-06-06; the Ninth Circuit revived the claims in 2025 and remanded."
CA,Altamont Pass Wind Resource Area First-Generation Wind Farms,wind,REC-0023,contested_project,needs_review,,2004,"In 2004, the Center for Biological Diversity brought a lawsuit against the operators of wind turbines in the Altamont Pass Wind Resource Area in Alameda and Contra Costa Counties, alleging that the “obsolete, first-generation wind turbine generators” being used at the site were killing and injuring birds in violation of the public trust doctrine. The lawsuit was dismissed, and the dismissal was upheld on appeal.","Center for Biological Diversity, Inc. v. FPL Group, Inc.","California Court of Appeal, First Appellate District",state_appellate,,ruled_for_developer,https://www.courtlistener.com/opinion/2247219/center-for-biological-diversity-inc-v-fpl-group-inc/,,promoted,"Verified 2026-09-24 by web search: a CourtListener / FindLaw result names this case, court; opinion text not read. Decided 2008-09-18 (166 Cal.App.4th 1349): dismissal affirmed."
CA,Aramis Solar Project,solar,REC-0024,contested_project,needs_review,"organized_group, local_residents",2020,"Opponents of two North Livermore Valley solar projects, Aramis (410 acres) and Sunwalker (70 acres), led by a group called Save North Livermore Valley, argued that the proposed locations of the projects impinge on agriculture, natural wildlife habitat, open space, and visual and scenic resources. In October 2020, two candidates running for election to the Alameda County Board of Supervisors issued a joint statement urging the board to place a moratorium on solar development on agricultural land. After the East County Board of Zoning Adjustments approved both projects, local groups stated appealed both decisions. By December 2020, three local organizations had filed appeals challenging the approval of the Aramis project. In May 2022, the Alameda County Superior Court upheld the county’s approval of the Aramis project, dismissing a lawsuit by project opponents. In July 2023, Save North Livermore Valley appealed the Superior Court’s decision. California’s First District Court of Appeals denied the appeal in August 2023.",,,,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Save North Livermore Valley et al. petition for writ of mandate against Alameda County (Measure D); trial court upheld approval July 2022; appeal argued in the First District Court of Appeal July 2023. Caption and outcome not confirmed.
CA,Aratina Solar Center,solar;battery_storage,REC-0025,contested_project,needs_review,organized_group,2021,"In October 2021, the Kern County Board of Supervisors unanimously approved the Aratina Solar Center, a solar-plus-storage project including 530 MW of solar capacity and 600 MW of battery energy storage capacity. Shortly thereafter, local community members organized a petition that received 51,000 signatures. A primary concern driving local opposition to the project is the potential impact on local wildlife and on Joshua Trees. In compliance with the California Western Joshua Tree Conservation Act, the developer received an Incidental Take Permit, which authorized the developer to remove trees with an option to pay a standard mitigation fee rather than complete mitigation fee.",,,,,,,,needs_docket_research,
