id,state,project_name,technology,severity_score,description,outcome,finality_evidence,status,has_litigation,opposition_type,county,municipality,event_date_text,capacity_mw,area_acres,long_description,source_record_id,source,source_url,notes,id,source_id
con_f6cc30a9f4,AL,Noccalula Wind Energy Center,wind,4,Pioneer Green Energy abandoned plans for a wind project in Etowah County after local residents filed a lawsuit and state restrictions were enacted.,blocked_unverified,outcome_label_only,cancelled,yes,"local_residents, litigation",Etowah County,,August 2014,35-40 MW,,"In August 2014, Pioneer Green Energy, a Texas-based developer, abandoned plans to construct a $160 million wind project comprising 35 to 40 turbines after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Etowah County.",REC-0005,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_f6cc30a9f4,src_90d5b39d9a09
con_bdcedbbcf1,AL,Origis Energy Solar Farm,solar,2,Local residents opposed a proposed solar farm in Covington County citing concerns about the impact on family properties and well water supplies.,pending,none,pending,,"local_residents, media_campaign",Covington County,,"August 21, 2023",160 MW,"1,000 acres","Local residents expressed strong opposition to a proposed 160-MW, 1,000-acre solar panel array at an August 21, 2023 meeting. The residents opposed the farm for several reasons, including that it would be powering communities over an hour away and not their own; that the solar farm might encroach on family properties that have existed for generations; and that potential road runoff might impact their well water supplies.",REC-0006,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_bdcedbbcf1,src_90d5b39d9a09
con_f1b7d028b5,AL,Shinbone Ridge Wind,wind,4,Pioneer Green Energy abandoned plans for a wind project in Cherokee County after local residents filed a lawsuit and state restrictions were enacted.,blocked_unverified,outcome_label_only,cancelled,yes,"local_residents, litigation",Cherokee County,,August 2014,7-8 MW,,"In August 2014, Pioneer Green Energy abandoned plans to construct a $40 million wind project comprising 7 to 8 turbines in Cherokee County after local residents filed a lawsuit challenging the project and after the state enacted onerous restrictions on wind energy in Cherokee County.",REC-0007,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_f1b7d028b5,src_90d5b39d9a09
con_b3b739c415,AL,Turkey Heaven Mountain Wind,wind,4,Native Energy Solutions abandoned plans for a wind project in Cleburne County after local residents filed a lawsuit.,blocked_unverified,outcome_label_only,cancelled,yes,"local_residents, litigation",Cleburne County,,June 2014,,,"In October 2015, Native Energy Solutions, an Oklahoma-based developer, announced that it was no longer planning to build a wind project in Cleburne County. The project faced opposition from local residents who, in June 2014, filed a lawsuit seeking a permanent injunction that would bar the developer from constructing wind turbines in the county.",REC-0008,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_b3b739c415,src_90d5b39d9a09
con_21e7d9c759,AR,Nimbus Wind Farm,wind,2,"Stop Wind Farms group opposed the 180-MW Nimbus Wind Farm in Carroll County, Arkansas.",pending,none,pending,,"organized_group, local_residents",Carroll County,,"September 17, 2024",180 MW,5600 acres (14 square miles),"In 2016, Scout Clean Energy began negotiating contracts with landowners for the 180-MW Nimbus Wind Farm, which would cover 14 square miles of land atop the Ozark Mountains. In 2023, a group called Stop Wind Farms was formed to oppose this development and collected over 1,000 verified signatures in opposition, raising concerns about disturbances to the aesthetic value of the Ozark ridgeline and decreased property values. Nevertheless, on September 17, 2024, the Carroll County Quorum Court approved Scout to use county roads for installation, so long as Scout covered the cost for road maintenance around the wind farm.",REC-0015,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_21e7d9c759,src_90d5b39d9a09
con_6359ae7dee,AR,Wind Catcher Energy Connection Project,wind;transmission,4,"Protect Our Pocketbooks opposed the Wind Catcher Energy Connection Project in Washington County, Arkansas.",blocked_unverified,outcome_label_only,cancelled,,dark_money_group,Washington County,,July 2018,2000 MW,,"In July 2018, American Electric Power abandoned plans to build a $4.5 billion, 2,000-MW wind farm in the Oklahoma panhandle, as well as an associated interstate transmission project that would have delivered electricity to Arkansas and other states. In Arkansas, a dark money group called Protect Our Pocketbooks paid for television advertisements claiming that Arkansas would receive no benefits from the project. The developer responded by issuing a statement that Protect Our Pocketbooks was “presenting misleading information to the public, including manipulation of statements by Arkansas Gov. Asa Hutchinson.” Although the Arkansas Public Service Commission ultimately granted approval for the Arkansas components of the project, the Wind Catcher project was canceled altogether when the Texas Public Service Commission denied approval.",REC-0016,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_6359ae7dee,src_90d5b39d9a09
con_3d6de038c4,AZ,Black Mesa Pumped Storage Project,hydro,3,"Nature and People First sought to develop a utility-scale pumped storage hydropower project, facing opposition from local residents and environmental groups.",pending,none,pending,yes,"environmental_group, local_residents",Apache and Navajo Counties,,"July 2023, February 2024","6,000",400,"The developer Nature and People First has sought to develop a 6,000-MW, utility-scale pumped storage hydropower project on approximately 400 acres of land in Apache and Navajo Counties. In July 2023, three organizations submitted a letter to FERC attaching resolutions against the project from 18 Navajo Nation chapters and agencies. Nearby residents had expressed concerns about potential damage to underground water supplies and sacred lands, and that the developer had not sufficiently involved nearby residents. In February 2024, FERC denied applications for a preliminary permit for the project.",REC-0011,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_3d6de038c4,src_90d5b39d9a09
con_f73684b5f6,AZ,Prince Road Solar Project,solar,2,A special use permit for a solar farm was denied by the Cochise County Planning and Zoning Commission.,pending,none,pending,,local_residents,Cochise County,,September 2024,75,597,"On September 11, 2024, the Cochise County Planning and Zoning Commission voted to deny a special use permit to construct a 75-MW solar farm on 597 acres of land. The commission chairwoman stated that they had too many solar projects in the county now.",REC-0012,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_f73684b5f6,src_90d5b39d9a09
con_f4d1eeaf2d,AZ,SunZia Transmission Line,transmission,3,The SunZia transmission line faced legal challenges from tribes and environmental groups over its routing in the San Pedro Valley.,pending,none,pending,yes,"environmental_group, local_residents",Cochise County,,"January 2024, June 2024",,,"The SunZia transmission line, expected to open in 2026 with the ability to carry more than 3,600 MW of wind power generated in New Mexico wind farms, routed through the San Pedro Valley. The Tohono O’odham, Hopi, Zuni, and San Carlos Apache tribes claimed that the Bureau of Land Management ignored over 15 years of attempts by the tribes to recognize the valley as a culturally significant area. In January 2024, these tribes, along with Center for Biological Diversity and Archeology Southwest, filed a lawsuit in the U.S. District Court for the District of Arizona, claiming that the review of the project violated NEPA and the NHPA. The lawsuit was dismissed in June 2024 and subsequently appealed to the Ninth Circuit Court of Appeals.",REC-0013,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_f4d1eeaf2d,src_90d5b39d9a09
con_db31bc839d,CA,Altamont Pass Wind Resource Area First-Generation Wind Farms,wind,3,"A lawsuit was brought against the operators of wind turbines in Altamont Pass, alleging bird deaths.",needs_review,none,in_force,yes,,Alameda and Contra Costa,,2004,,,"In 2004, the Center for Biological Diversity brought a lawsuit against the operators of wind turbines in the Altamont Pass Wind Resource Area in Alameda and Contra Costa Counties, alleging that the “obsolete, first-generation wind turbine generators” being used at the site were killing and injuring birds in violation of the public trust doctrine. The lawsuit was dismissed, and the dismissal was upheld on appeal.",REC-0023,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_db31bc839d,src_90d5b39d9a09
