state,technology,restriction_type,severity_score,description,status,jurisdiction,jurisdiction_type,date_enacted_iso,moratorium_id,source,source_url
Connecticut,battery_storage,moratorium,4,"Need to evaluate land use, environmental, infrastructure, fire safety, emergency response, groundwater, traffic, noise, visual, electrical infrastructure, and water-use impacts. Adopted. The Commission's own document repository shows the moratorium text moved from a 'generals' (draft/agenda-attachment) filing on 2026-04-15 to a 'regulations' filing dated 2026-05-20, and secondary press reports the Commission approved the moratorium following a public hearing in mid-May 2026. The operative text (Section 6) fixes a 12-month term running from the effective date of adoption, notwithstanding press descriptions of it as a 'two-year moratorium' (which do not match the adopted text I read). Legal basis: Town of Morris Planning and Zoning Commission, Zoning Moratorium on Battery Energy Storage Systems and Data Centers.",active,Morris,Town,2026-05,ct-morris-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Georgia,battery_storage,moratorium,4,"Significant surge in planning, development, and construction of data centers and battery energy storage facilities nationally and in Georgia; the county's zoning ordinance (from the 1990s) did not contemplate these uses. Second 100-day term runs to approximately early September 2026. The county held a July 30, 2026 work session reviewing draft permanent zoning provisions for data centers in agricultural, industrial, and technology-park zones (e.g., 100-acre minimum for larger industrial-zone facilities, 20,000-sq-ft/peak-demand thresholds), intended to replace the moratorium. Legal basis: Carroll County Board of Commissioners resolution adopted March 3, 2026, applicable only to unincorporated Carroll County; extension resolution adopted June 3, 2026.",extended,Carroll County,County,2026-03-03,ga-carroll-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Illinois,battery_storage,moratorium,4,Active 180-day moratorium. Legal basis: City of West Chicago Ordinance 26-O-0011.,active,City of West Chicago,City,2026-07-06,il-city-of-west-chicago-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Indiana,battery_storage,moratorium,4,"Resident opposition to possible commercial solar projects and need to review zoning rules for commercial solar, battery storage, and data centers. Active. Legal basis: Board of Commissioners action on Plan Commission recommendation, effective 2026-02-25; ordinance or resolution number not captured in publicly accessible Dearborn County records (CivicClerk portal renders client-side) as of 2026-04-29.",active,Dearborn County,County,2026-02-24,in-dearborn-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Indiana,solar,moratorium,4,"Resident opposition to possible commercial solar projects and need to review zoning rules for commercial solar, battery storage, and data centers. Active. Legal basis: Board of Commissioners action on Plan Commission recommendation, effective 2026-02-25; ordinance or resolution number not captured in publicly accessible Dearborn County records (CivicClerk portal renders client-side) as of 2026-04-29.",active,Dearborn County,County,2026-02-24,in-dearborn-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Indiana,battery_storage,moratorium,4,"Concern that a developer could apply before the county had standards for data centers, BESS, and carbon sequestration. Active. Legal basis: Ordinance No. 2026-04, ""An Ordinance for the Adoption of a Text Amendment to the Unified Development Ordinance (UDO) for Huntington County to Place a Moratorium on Data Centers, Battery Energy Storage Systems and Carbon Sequestration Projects"".",active,Huntington County,County,2026-02-23,in-huntington-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Indiana,solar,moratorium,4,"County review of UDO standards after solar project controversy; concern that newer technologies, including data centers, were not adequately addressed. Active. Legal basis: Ordinance No. 2025-11-17-1 establishing a moratorium on new small modular reactors, data centers, solar energy conservation systems, and wind energy systems.",active,Putnam County,County,2025-11-17,in-putnam-county-2025,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Active as of 2026-07-31 if not extended; six months from 2026-05-12 would run to approximately 2026-11-12, and no extension or rescission was identified in the reviewed sources. Legal basis: Resolution 2026-8, barring the county from accepting applications or issuing building, use, zoning, or rezoning permits for data centers, bitcoin mining facilities, solar collection and storage facilities, and battery energy storage systems, for six months.",active,Dickinson County,County,2026-05-12,ia-dickinson-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,solar,moratorium,4,"Active as of 2026-07-31 if not extended; six months from 2026-05-12 would run to approximately 2026-11-12, and no extension or rescission was identified in the reviewed sources. Legal basis: Resolution 2026-8, barring the county from accepting applications or issuing building, use, zoning, or rezoning permits for data centers, bitcoin mining facilities, solar collection and storage facilities, and battery energy storage systems, for six months.",active,Dickinson County,County,2026-05-12,ia-dickinson-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Board sought time to review zoning rules before allowing data center and battery storage development. Reported active as of the May 26, 2026 vote; not independently confirmed past that date [VERIFY instrument number; primary source (news-only evidence) not confirmed at confidence 0.45 in the 2026-07 refresh]. Legal basis: County Commission action following public hearings; resolution/ordinance number not found in news coverage.",active,Madison County,County,2026-05,ia-madison-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Regulatory gap on siting large-scale data centers and industrial battery storage. Reported active as of the June 16, 2026 vote; not independently confirmed against a primary document in this pass. Legal basis: Board of Supervisors resolution (unanimous) placing a year-long moratorium on permitting large-scale data centers and industrial battery storage facilities; specific resolution number not located in this pass.",active,Plymouth County,County,2026-06-16,ia-plymouth-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,solar,moratorium,4,"Shelby County has no existing ordinance governing siting, construction, and operation of commercial solar energy systems. Active as of 2026-07-31; expires July 1, 2027 unless extended or superseded by an ordinance. Legal basis: Resolution 2026-14, Moratorium on Solar Energy Construction Permits.",active,Shelby County,County,2026-03-17,ia-shelby-county-2026-2,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Shelby County has no existing ordinance governing siting, construction, and operation of commercial battery storage projects. Active as of 2026-07-31; expires July 1, 2027 unless extended or superseded by an ordinance. Legal basis: Resolution 2026-15, Moratorium on Battery Storage Construction Permits.",active,Shelby County,County,2026-03-17,ia-shelby-county-2026-3,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,wind,moratorium,4,"Shelby County has no existing ordinance governing siting, construction, and operation of commercial wind energy systems. Active as of 2026-07-31; expires July 1, 2027 unless extended or superseded by an ordinance. Legal basis: Resolution 2026-17, Moratorium on Wind Energy Construction Permits.",active,Shelby County,County,2026-03-17,ia-shelby-county-2026-4,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Board desired additional time to review Sioux County Ordinance No. 01 (the county's general land-use/zoning ordinance) before any data center or BESS project could be considered; the resolution notes no such facilities were installed or in development in the county at the time. Active as of 2026-07-31 (sunsets automatically 2027-06-16 absent further Board action). Legal basis: Resolution No. 2026-32, prohibiting the Board of Supervisors, Zoning Board, and Board of Adjustment from receiving, reviewing, considering, or approving any Data Center and/or BESS application, to allow time to review Ordinance No. 01.",active,Sioux County,County,2026-06-16,ia-sioux-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"County regulations were silent on digital asset mining, cryptocurrency operations, data processing centers, and battery/energy storage uses. Active. Extended via Resolution #26-69 (adopted 2026-03-17) through 2027-03-31, covering digital asset mining, cryptocurrency operations, and data processing centers (BESS was moved to permanent Ordinance No. 330, adopted the same day). No further rescission or replacement found through the July 21, 2026 minutes. Legal basis: Resolution #25-97 (adopted 2025-06-17); extended via Resolution #26-36 (adopted 2025-11-25) through 2026-03-31; further extended via Resolution #26-69 (adopted 2026-03-17) through 2027-03-31. The same March 17, 2026 meeting adopted Ordinance No. 330 (third consideration), which permanently regulates battery/energy storage uses, spinning BESS out of the moratorium; the moratorium itself continues to cover digital asset mining, cryptocurrency operations, and data processing centers.",active,Story County,County,2025-06-17,ia-story-county-2025,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,battery_storage,moratorium,4,"Status uncertain as of 2026-07-31; a draft Ordinance 40 (data center/solar moratorium) was published by the county in June 2026 but not confirmed adopted. [VERIFY details not confirmed at confidence 0.55 in the 2026-07 refresh]. Legal basis: Board of Supervisors vote (3-0) amending Resolution 2023-21, originally a temporary moratorium on wind-turbine construction, to add data centers, solar panels, battery storage, and mineral extraction; the executed amendment text was not located in this pass.",active,Taylor County,County,2026-05-07,ia-taylor-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,solar,moratorium,4,"Status uncertain as of 2026-07-31; a draft Ordinance 40 (data center/solar moratorium) was published by the county in June 2026 but not confirmed adopted. [VERIFY details not confirmed at confidence 0.55 in the 2026-07 refresh]. Legal basis: Board of Supervisors vote (3-0) amending Resolution 2023-21, originally a temporary moratorium on wind-turbine construction, to add data centers, solar panels, battery storage, and mineral extraction; the executed amendment text was not located in this pass.",active,Taylor County,County,2026-05-07,ia-taylor-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Iowa,wind,moratorium,4,"Status uncertain as of 2026-07-31; a draft Ordinance 40 (data center/solar moratorium) was published by the county in June 2026 but not confirmed adopted. [VERIFY details not confirmed at confidence 0.55 in the 2026-07 refresh]. Legal basis: Board of Supervisors vote (3-0) amending Resolution 2023-21, originally a temporary moratorium on wind-turbine construction, to add data centers, solar panels, battery storage, and mineral extraction; the executed amendment text was not located in this pass.",active,Taylor County,County,2026-05-07,ia-taylor-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,battery_storage,moratorium,4,"County counselor Austin Parker framed the pause under police powers to study public health, public safety, and welfare impacts of data centers, battery energy storage systems, solar energy, chip manufacturing, and cryptocurrency projects, on recommendation of the Brown County Planning Commission. Active. Legal basis: Resolution 2026-10 (motion by Chairman Heinen, seconded by Commissioner Pollock, motion carried unanimously per official minutes).",active,Brown County,County,2026-03-02,ks-brown-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,solar,moratorium,4,"County counselor Austin Parker framed the pause under police powers to study public health, public safety, and welfare impacts of data centers, battery energy storage systems, solar energy, chip manufacturing, and cryptocurrency projects, on recommendation of the Brown County Planning Commission. Active. Legal basis: Resolution 2026-10 (motion by Chairman Heinen, seconded by Commissioner Pollock, motion carried unanimously per official minutes).",active,Brown County,County,2026-03-02,ks-brown-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,battery_storage,moratorium,4,"Reported alongside contentious Emporia city commission meetings on data center projects; specific rationale not detailed in the source retrieved. Active as of 2026-07-31 (adopted 2026-07-23, after this dataset's 2026-04-28 coverage cutoff). Legal basis: Resolution No. 12-26.",active,Lyon County,County,2026-07-23,ks-lyon-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,solar,moratorium,4,"Adopted alongside the data-center/BESS moratorium (Resolution No. 12-26); specific rationale not detailed in the source retrieved. Active as of 2026-07-31 (adopted 2026-07-23, after this dataset's 2026-04-28 coverage cutoff). Legal basis: Resolution No. 13-26.",active,Lyon County,County,2026-07-23,ks-lyon-county-2026-2,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,battery_storage,moratorium,4,"County commissioners sought time to understand battery storage and data centers after presentations from Flint Hills Rural Electric Cooperative and Kansas Electric Power Cooperative; concerns included safety and protecting county residents. Active; extended through 2027-06-01 by Resolution No. 2026-19 (unanimous BoCC vote, adopted 2026-05-11). Legal basis: Resolution No. 2026-12, ""A Resolution Providing for a Temporary Moratorium on the Acceptance of Applications Relating to the Establishment, Operation or Expansion of Data Centers within the Unincorporated Areas of Marion County, Kansas,"" citing K.S.A. 12-741 et seq. and K.S.A. 19-101 et seq. police power; passed and adopted March 2, 2026 (unanimous, 5-0; signed by Chairman Dave Crofoot, attested by County Clerk Ashley Herpich, county seal affixed). Extended one year by Resolution No. 2026-19, ""A Resolution Extending the Temporary Moratorium...,"" passed and adopted May 11, 2026 (unanimous, 5-0).",extended,Marion County,County,2026-03-02,ks-marion-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Kansas,battery_storage,moratorium,4,"County commissioners wanted time to study data center and BESS impacts before making a firm policy decision; concerns included high electricity consumption, utility bills, and cooling water. Active. Legal basis: County Commission moratorium action [VERIFY resolution number from official minutes].",active,Riley County,County,2026-05-18,ks-riley-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Massachusetts,battery_storage,moratorium,2,"Data centers undefined in Gill zoning bylaws; unique energy and noise impacts; related BESS state-regulatory uncertainty. Proposed. Legal basis: Proposed Section 18, Building-Integrated Energy Storage Systems (BESS) and Data Centers.",pending,"Gill (proposal, not enacted as of 2026-04-29)",Town,,ma-gill-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Massachusetts,battery_storage,moratorium,2,"Need to study BESS and data centers and develop zoning controls consistent with state siting and permitting requirements. Proposed. Legal basis: Proposed Zoning Bylaw Section 6.11, submitted by Planning Board and recommended by Select Board.",pending,"Heath (proposal, not enacted as of 2026-04-29)",Town,,ma-heath-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Michigan,battery_storage,moratorium,4,"Proactive pause on data center, battery energy storage, and large-scale solar and wind applications pending permanent regulations. Active as of 2026-07-31. Legal basis: Ordinance 2026-07, under the Michigan Zoning Enabling Act (PA 110 of 2006).",active,Allendale Township,Township,2026-06-08,mi-allendale-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Michigan,solar,moratorium,4,"Proactive pause on data center, battery energy storage, and large-scale solar and wind applications pending permanent regulations. Active as of 2026-07-31. Legal basis: Ordinance 2026-07, under the Michigan Zoning Enabling Act (PA 110 of 2006).",active,Allendale Township,Township,2026-06-08,mi-allendale-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Michigan,wind,moratorium,4,"Proactive pause on data center, battery energy storage, and large-scale solar and wind applications pending permanent regulations. Active as of 2026-07-31. Legal basis: Ordinance 2026-07, under the Michigan Zoning Enabling Act (PA 110 of 2006).",active,Allendale Township,Township,2026-06-08,mi-allendale-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Missouri,battery_storage,moratorium,4,"Pause on accepting, processing, or issuing permits, licenses, and applications for new data centers and battery energy storage systems while the city develops zoning and regulatory standards. Active per city release. Legal basis: City Council vote 7-0; final ordinance/resolution instrument number not identified in city release [VERIFY].",active,City of Independence,City,2026-07-06,mo-city-of-independence-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
