missing_from,state,jurisdiction,technologies,status,date,id,description
moratorium_nation,AR,Madison County,wind,in_force,December 2024,REC-0014,Madison County Quorum Court passed a one-year moratorium on wind development within the county in December 2024.
moratorium_nation,AZ,Mohave County,solar,lifted,"October 2023, June 2024",REC-0010,"Mohave County Board of Supervisors established a 240-day moratorium on energy overlay re-zoning for renewable projects, which was later lifted."
moratorium_nation,CA,Escondido,battery_storage,in_force,"October 9, 2024",REC-0018,City of Escondido implemented a 45-day moratorium on battery energy storage sites to update regulations.
moratorium_nation,CO,Delta County,solar;wind,in_force,September 2022,REC-0030,"Delta County imposed a 6-month moratorium on applications for commercial-scale renewable energy facilities, extended as of December 2023."
moratorium_nation,CO,Mesa County,solar,lifted,January 2024,REC-0031,"Mesa County approved a six-month moratorium on commercial solar projects, which ended after new regulations were adopted in April 2024."
moratorium_nation,CO,Montrose County,solar,in_force,October 2022,REC-0032,"Montrose County imposed a 6-month moratorium on processing applications for power generation facilities, extended in April and December 2023."
moratorium_nation,CO,Rio Blanco County,solar;wind,in_force,August 2023,REC-0033,Rio Blanco County adopted a moratorium on wind and solar projects to determine how to incorporate such projects into the county’s land use plan.
moratorium_nation,CO,San Miguel County,solar,lifted,May 2023,REC-0034,"San Miguel County enacted a 6-month moratorium on applications for commercial energy projects, including solar, which was extended and ended after new zoning regulations were adopted in September 2024."
moratorium_nation,CO,Washington County,solar;wind,lifted,"March 24, 2020",REC-0035,"Washington County imposed a temporary moratorium on accepting, processing, and approving wind and solar farm permits in unincorporated parts of the county."
moratorium_nation,DE,Kent County,solar,in_force,"March 2022, September 2022, December 2022",REC-0042,Kent County imposed a moratorium and later prohibited new solar farms larger than 50 acres on agricultural land.
moratorium_nation,GA,Grady County,solar,lifted,February 2017,REC-0056,Grady County imposed a 60-day moratorium on solar farm applications.
moratorium_nation,GA,Lee County,solar,lifted,"May 2019, January 2021",REC-0059,Lee County placed a moratorium on solar farm construction in response to increased interest from developers.
moratorium_nation,GA,Oglethorpe County,solar,in_force,"March 2023, September 2023",REC-0060,"Oglethorpe County adopted a 6-month moratorium on new solar projects, followed by an amendment to its Zoning Ordinance."
moratorium_nation,GA,Thomas County,solar,in_force,"October 2016, October 2018",REC-0061,Thomas County implemented an indefinite moratorium on solar energy facility construction.
moratorium_nation,IA,Cerro Gordo County,battery_storage;solar;wind,in_force,"May 2023, December 2024",REC-0105,"Cerro Gordo County passed a moratorium on utility-scale solar, wind and storage systems."
moratorium_nation,IA,Clinton County,wind,in_force,"September 24, 2024, December 2024",REC-0107,Clinton County issued a three-month moratorium on commercial wind farm applications and extended it to June 2025.
moratorium_nation,IA,Greene County,solar,lifted,"March 2022, June 2022",REC-0111,Greene County implemented a moratorium on utility-scale solar farms.
moratorium_nation,IA,Grundy County,wind,in_force,"May 2021, 2023",REC-0112,Grundy County passed an indefinite moratorium on wind farm construction and new regulations with setback requirements.
moratorium_nation,IA,Henry County,wind,in_force,April 2024,REC-0114,Henry County approved a one-year moratorium on rezoning for commercial wind energy.
moratorium_nation,IA,Humboldt County,solar;wind,in_force,January 2024,REC-0115,Humboldt County adopted a one-year moratorium on new energy systems.
moratorium_nation,IA,Johnson County,solar,lifted,"December 2021, June 2022",REC-0116,Johnson County approved a temporary moratorium on utility-scale solar energy farms.
moratorium_nation,IA,Kossuth County,solar,in_force,October 2024,REC-0117,Kossuth County adopted a nine-month ban on large-scale solar farm applications.
moratorium_nation,IA,Linn County,solar,lifted,"October 2022, September 30, 2023",REC-0118,Linn County adopted a moratorium on utility-scale solar installations.
moratorium_nation,ID,Bannock County,battery_storage;solar;wind,in_force,"October 2023, March 2024",REC-0070,Bannock County enacted a moratorium and ordinance banning large-scale solar farms and limiting wind turbines.
moratorium_nation,ID,Twin Falls County,solar;wind,in_force,"August 2023, March 2024",REC-0073,Twin Falls County instituted a moratorium on large-scale energy projects and passed zoning regulations to regulate wind and solar projects.
moratorium_nation,IL,Ford County,wind,lifted,,REC-0078,Ford County imposed a moratorium on wind projects and later increased setback requirements.
moratorium_nation,IL,Piatt County,wind,lifted,,REC-0081,Piatt County imposed a moratorium on wind energy project applications.
moratorium_nation,IL,Tazewell County,wind,in_force,,REC-0082,Tazewell County approved a six-month moratorium on new wind energy projects.
moratorium_nation,IN,Clinton,wind,in_force,September 2019,REC-0089,"Clinton County, Indiana, upheld a moratorium on wind farms."
moratorium_nation,IN,Delaware,solar,in_force,February 2022,REC-0090,"Delaware County, Indiana, adopted a moratorium and increased setbacks for solar projects."
moratorium_nation,IN,Kosciusko,solar,in_force,January 2019,REC-0096,"Kosciusko County, Indiana, adopted a moratorium on large-scale solar projects."
moratorium_nation,IN,Madison,solar;wind,in_force,March 2024,REC-0098,"Madison County, Indiana, imposed a moratorium on new wind and solar projects."
moratorium_nation,KS,Barton,solar,in_force,"May 2023, April 2024",REC-0120,Barton County adopted a temporary moratorium on commercial solar projects and updated zoning regulations to include a 'no build' zone around Cheyenne Bottoms.
moratorium_nation,KS,Brown,wind,in_force,July 2022,REC-0121,Brown County adopted a moratorium on wind energy facility permitting to work on zoning regulations.
